Id(int)	宠物(int)	阶数(int)	需要钻石数(int)	需要金币数(int)	需要碎片数(int)	需要骨头数(int)	需要的货币类型(int)（0=金币 1=钻石）
9033	9	33	0	4100	8	7	0
9034	9	34	0	4200	8	7	0
9035	9	35	0	4300	8	7	0
9036	9	36	0	4400	8	7	0
9037	9	37	0	4500	8	8	0
9038	9	38	0	4600	8	8	0
9039	9	39	0	4700	8	8	0
9040	9	40	0	4800	8	8	0
9041	9	41	0	4900	8	8	0
9042	9	42	0	5000	10	9	0
9043	9	43	0	5100	10	9	0
9044	9	44	0	5200	10	9	0
9045	9	45	0	5300	10	9	0
9046	9	46	0	5400	10	9	0
9047	9	47	0	5500	10	10	0
9048	9	48	0	5600	10	10	0
9049	9	49	0	5700	10	10	0
9050	9	50	0	5800	10	10	0
9051	9	51	0	5900	10	10	0
9052	9	52	0	6000	12	11	0
9053	9	53	0	6100	12	11	0
9054	9	54	0	6200	12	11	0
9055	9	55	0	6300	12	11	0
9056	9	56	0	6400	12	11	0
9057	9	57	0	6500	12	12	0
9058	9	58	0	6600	12	12	0
9059	9	59	0	6700	12	12	0
9060	9	60	0	6800	12	12	0
9061	9	61	20	0	12	12	1
9062	9	62	20	0	14	13	1
9063	9	63	20	0	14	13	1
9064	9	64	20	0	14	13	1
9065	9	65	20	0	14	13	1
9066	9	66	20	0	14	13	1
9067	9	67	20	0	14	14	1
9068	9	68	20	0	14	14	1
9069	9	69	20	0	14	14	1
9070	9	70	20	0	14	14	1
9071	9	71	20	0	14	14	1
9072	9	72	20	0	16	15	1
9073	9	73	20	0	16	15	1
9074	9	74	20	0	16	15	1
9075	9	75	20	0	16	15	1
9076	9	76	20	0	16	15	1
9077	9	77	20	0	16	16	1
9078	9	78	20	0	16	16	1
9079	9	79	20	0	16	16	1
9080	9	80	20	0	16	16	1
9081	9	81	20	0	16	16	1
9082	9	82	20	0	18	17	1
9083	9	83	20	0	18	17	1
9084	9	84	20	0	18	17	1
9085	9	85	20	0	18	17	1
9086	9	86	20	0	18	17	1
9087	9	87	20	0	18	18	1
9088	9	88	20	0	18	18	1
9089	9	89	20	0	18	18	1
9090	9	90	20	0	18	18	1
9091	9	91	20	0	18	18	1
9092	9	92	20	0	20	19	1
9093	9	93	20	0	20	19	1
9094	9	94	20	0	20	19	1
9095	9	95	20	0	20	19	1
9096	9	96	20	0	20	19	1
9097	9	97	20	0	20	20	1
9098	9	98	20	0	20	20	1
9099	9	99	20	0	20	20	1
9100	9	100	20	0	20	20	1
9101	9	101	20	0	20	20	1
9102	9	102	20	0	22	21	1
9103	9	103	20	0	22	21	1
9104	9	104	20	0	22	21	1
9105	9	105	20	0	22	21	1
9106	9	106	20	0	22	21	1
9107	9	107	20	0	22	22	1
9108	9	108	20	0	22	22	1
9109	9	109	20	0	22	22	1
9110	9	110	20	0	22	22	1
9111	9	111	20	0	22	22	1
9112	9	112	20	0	24	23	1
9113	9	113	20	0	24	23	1
9114	9	114	20	0	24	23	1
9115	9	115	20	0	24	23	1
9116	9	116	20	0	24	23	1
9117	9	117	20	0	24	24	1
9118	9	118	20	0	24	24	1
9119	9	119	20	0	24	24	1
9120	9	120	20	0	24	24	1
10001	10	1	0	0	0	0	0
10002	10	2	0	1000	2	1	0
10003	10	3	0	1100	2	1	0
10004	10	4	0	1200	2	1	0
10005	10	5	0	1300	2	1	0
10006	10	6	0	1400	2	1	0
10007	10	7	0	1500	2	2	0
10008	10	8	0	1600	2	2	0
10009	10	9	0	1700	2	2	0
10010	10	10	0	1800	2	2	0
10011	10	11	0	1900	2	2	0
10012	10	12	0	2000	4	3	0
10013	10	13	0	2100	4	3	0
10014	10	14	0	2200	4	3	0
10015	10	15	0	2300	4	3	0
10016	10	16	0	2400	4	3	0
10017	10	17	0	2500	4	4	0
10018	10	18	0	2600	4	4	0
10019	10	19	0	2700	4	4	0
10020	10	20	0	2800	4	4	0
10021	10	21	0	2900	4	4	0
10022	10	22	0	3000	6	5	0
10023	10	23	0	3100	6	5	0
10024	10	24	0	3200	6	5	0
10025	10	25	0	3300	6	5	0
10026	10	26	0	3400	6	5	0
10027	10	27	0	3500	6	6	0
10028	10	28	0	3600	6	6	0
10029	10	29	0	3700	6	6	0
10030	10	30	0	3800	6	6	0
10031	10	31	0	3900	6	6	0
10032	10	32	0	4000	8	7	0
10033	10	33	0	4100	8	7	0
10034	10	34	0	4200	8	7	0
10035	10	35	0	4300	8	7	0
10036	10	36	0	4400	8	7	0
10037	10	37	0	4500	8	8	0
10038	10	38	0	4600	8	8	0
10039	10	39	0	4700	8	8	0
10040	10	40	0	4800	8	8	0
10041	10	41	0	4900	8	8	0
10042	10	42	0	5000	10	9	0
10043	10	43	0	5100	10	9	0
10044	10	44	0	5200	10	9	0
10045	10	45	0	5300	10	9	0
10046	10	46	0	5400	10	9	0
10047	10	47	0	5500	10	10	0
10048	10	48	0	5600	10	10	0
10049	10	49	0	5700	10	10	0
10050	10	50	0	5800	10	10	0
10051	10	51	0	5900	10	10	0
10052	10	52	0	6000	12	11	0
10053	10	53	0	6100	12	11	0
10054	10	54	0	6200	12	11	0
10055	10	55	0	6300	12	11	0
10056	10	56	0	6400	12	11	0
10057	10	57	0	6500	12	12	0
10058	10	58	0	6600	12	12	0
10059	10	59	0	6700	12	12	0
10060	10	60	0	6800	12	12	0
10061	10	61	20	0	12	12	1
10062	10	62	20	0	14	13	1
10063	10	63	20	0	14	13	1
10064	10	64	20	0	14	13	1
10065	10	65	20	0	14	13	1
10066	10	66	20	0	14	13	1
10067	10	67	20	0	14	14	1
10068	10	68	20	0	14	14	1
10069	10	69	20	0	14	14	1
10070	10	70	20	0	14	14	1
10071	10	71	20	0	14	14	1
10072	10	72	20	0	16	15	1
10073	10	73	20	0	16	15	1
10074	10	74	20	0	16	15	1
10075	10	75	20	0	16	15	1
10076	10	76	20	0	16	15	1
10077	10	77	20	0	16	16	1
10078	10	78	20	0	16	16	1
10079	10	79	20	0	16	16	1
10080	10	80	20	0	16	16	1
10081	10	81	20	0	16	16	1
10082	10	82	20	0	18	17	1
10083	10	83	20	0	18	17	1
10084	10	84	20	0	18	17	1
10085	10	85	20	0	18	17	1
10086	10	86	20	0	18	17	1
10087	10	87	20	0	18	18	1
10088	10	88	20	0	18	18	1
10089	10	89	20	0	18	18	1
10090	10	90	20	0	18	18	1
10091	10	91	20	0	18	18	1
10092	10	92	20	0	20	19	1
10093	10	93	20	0	20	19	1
10094	10	94	20	0	20	19	1
10095	10	95	20	0	20	19	1
10096	10	96	20	0	20	19	1
10097	10	97	20	0	20	20	1
10098	10	98	20	0	20	20	1
10099	10	99	20	0	20	20	1
10100	10	100	20	0	20	20	1
10101	10	101	20	0	20	20	1
10102	10	102	20	0	22	21	1
10103	10	103	20	0	22	21	1
10104	10	104	20	0	22	21	1
10105	10	105	20	0	22	21	1
10106	10	106	20	0	22	21	1
10107	10	107	20	0	22	22	1
10108	10	108	20	0	22	22	1
10109	10	109	20	0	22	22	1
10110	10	110	20	0	22	22	1
10111	10	111	20	0	22	22	1
10112	10	112	20	0	24	23	1
10113	10	113	20	0	24	23	1
10114	10	114	20	0	24	23	1
10115	10	115	20	0	24	23	1
10116	10	116	20	0	24	23	1
10117	10	117	20	0	24	24	1
10118	10	118	20	0	24	24	1
10119	10	119	20	0	24	24	1
10120	10	120	20	0	24	24	1
10121	10	121	20	0	24	24	1
10122	10	122	20	0	26	25	1
10123	10	123	20	0	26	25	1
10124	10	124	20	0	26	25	1
10125	10	125	20	0	26	25	1
10126	10	126	20	0	26	25	1
10127	10	127	20	0	26	26	1
10128	10	128	20	0	26	26	1
10129	10	129	20	0	26	26	1
10130	10	130	20	0	26	26	1
10131	10	131	20	0	26	26	1
10132	10	132	20	0	28	27	1
10133	10	133	20	0	28	27	1
10134	10	134	20	0	28	27	1
10135	10	135	20	0	28	27	1
10136	10	136	20	0	28	27	1
10137	10	137	20	0	28	28	1
10138	10	138	20	0	28	28	1
10139	10	139	20	0	28	28	1
10140	10	140	20	0	28	28	1
10141	10	141	20	0	28	28	1
10142	10	142	20	0	30	29	1
10143	10	143	20	0	30	29	1
10144	10	144	20	0	30	29	1
10145	10	145	20	0	30	29	1
10146	10	146	20	0	30	29	1
10147	10	147	20	0	30	30	1
10148	10	148	20	0	30	30	1
10149	10	149	20	0	30	30	1
10150	10	150	20	0	30	30	1
